ID;Question;Answer;Source_Note_or_URL;;
50;For a postal application with my own car, what is the RDW registration report, and when would I typically receive it?;For a postal application with your own car, you need a copy of the car’s registration certificate or of the Netherlands Vehicle Authority (RDW) registration report. You typically receive the RDW registration report when you buy a car and register it in your name.;"URL2 (""Applying by post..."" - Your own car)";;
51;If the registration of a company car is in the name of a company partner or director, do I still need an employer's statement confirming I'm the sole driver?;Yes, if the company car's registration is in the name of a company partner or director, you still need a declaration from your employer (no older than 1 month) stating that you are an employee of the company and the only employee permitted to drive the car.;"URL1 (""Company car"" - If the registration number is in the name of the partner or manager) & URL2 (""Company car"" - Licence plate... in the name of company partner or director)";;
52;If I submit a change of registration number online, and the vehicle is registered in my name, how quickly is it typically processed?;If the vehicle registration is in your name, a change of registration number submitted online is processed immediately.;"URL3 (""Changing the registration number..."" - How long does a change take to process?)";;
53;If my car was stolen and I don't have the police report yet, can I use an email confirmation of the report for a temporary change of registration?;Yes, if your car was stolen and the police report is not yet available, an email confirmation of the report can be used for a temporary change of registration.;"URL3 (""Changing the registration number..."" - Temporary car due to theft)";;
54;For which city districts (stadsdelen) in Amsterdam can one typically apply for a Blue Zone waiver?;You can apply for a Blue Zone waiver in the city districts of Nieuw-West, Noord, Oost, and Zuidoost.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Zo werkt het section, Dutch)";;
55;If I am a resident with two cars and no private parking, can I get a Blue Zone waiver, and if so, how many registration numbers can be on it?;If you are a resident with 2 or more cars and no private parking, you can get 1 Blue Zone waiver. Two registration numbers will be put on this waiver, and you choose which car uses it at any given time.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Bewoners section, Dutch)";;
56;For businesses in a Blue Zone, is the number of private parking spaces they own deducted from the total number of waivers they can get?;Yes, for businesses in a Blue Zone, the number of their own parking spaces is deducted from the total number of waivers they can receive.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Bedrijven section, Dutch)";;
57;What kind of organizations, apart from businesses, can apply for Blue Zone waivers based on their number of employees (e.g., 2 waivers per 5 employees)?;Besides businesses, care institutions (zorginstellingen), educational institutions (onderwijsinstellingen), and police stations (politiebureaus) can apply for Blue Zone waivers based on their number of employees, typically receiving a maximum of 2 waivers per 5 employees.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Zorginstellingen, onderwijsinstellingen, politiebureaus section, Dutch)";;
58;To get a Blue Zone waiver for a caregiver (mantelzorger), does the caregiver need to live outside my Blue Zone area?;Yes, one of the conditions for a Blue Zone waiver for a caregiver (mantelzorger) is that your caregiver lives outside your Blue Zone area.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Voorwaarden / Bewoners die mantelzorg krijgen section, Dutch)";;
59;For a Blue Zone waiver application, what specific document is needed to prove I am eligible for informal care (mantelzorg)?;To prove you are eligible for informal care (mantelzorg) for a Blue Zone waiver, you need a recent declaration from an institution showing you are designated for such care. An indication for home care or a nursing home is also acceptable.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Aanvragen / Wat u nodig heeft section, Dutch)";;
60;How long does it typically take to receive a Blue Zone waiver by post after applying?;You will typically receive the Blue Zone waiver by post within 5 working days after applying.;"URL5 (""Ontheffing blauwe zone aanvragen"" - Zo lang duurt het section, Dutch)";;
61;If I no longer need my Blue Zone waiver before its 2-year validity ends, do I need to officially cancel it, and will I get a refund?;"No, you do not need to officially cancel your Blue Zone waiver; it expires automatically. You will not receive a refund if you stop using it before its validity ends.";"URL5 (""Ontheffing blauwe zone aanvragen"" - Opzeggen niet nodig section, Dutch)";;
62;In some parts of Amsterdam, what’s the maximum number of resident parking permits an address can get?;A maximum of 2 permits per address.;URL1 (from “In some parts of Amsterdam … maximum of 2 permits per address” section);;
63;I can’t use the garage in my building. Which document must I include with my permit application?;The signed ‘Declaration of No Available Parking’ (‘geen eigen parkeerplaats’).;URL1 (from “Parking space at your house” section);;
64;When I change the registration on a lease or rental car that’s in my name, what proof do I upload?;A copy of the lease/rental agreement (≤ 1 year old) or a lease statement (≤ 1 month old).;URL3 (from “Leased car in your name” section);;
65;What’s the official way to notifyAmsterdam of a change of vehicle registration number?;Submit the change online with DigiD.;URL3 (from “Let us know … online with your DigiD” paragraph);;
66;If the vehicle is registered in my own name, what extra documents are required for a registration-number change?;None, no additional documents are needed.;URL3 (from “Owner of the vehicle: No documents needed” line);;
67;My request to change the registration of a car not in my name arrived after 16:00. When will it be processed?;On the next working day.;URL3 (from “On the next working day, if received after 16.00” note);;
68;I drive a car with foreign licence plates. What must I provide when changing the registration on my permit?;A copy of the foreign registration certificate plus a translation.;URL3 (from “Car with foreign registration” line);;
69;For an employer-leased car, which three documents are required to change its registration number?;"(1) Payslip ≤ 2 months old or employment contract; (2) employer’s statement ≤ 1 month old naming you sole driver; (3) lease agreement ≤ 1 year old or lease statement ≤ 1 month old.";URL3 (from “Employer leases a car for you” block);;
70;For a company car in the employer’s name, how old can the employer’s declaration be?;No more than 1 month old.;URL3 (from “Company car in employer’s name” block);;
71;The company car is in a partner/director’s name. Which ID must I upload?;A passport or ID card of that owner (scan both sides if the BSN is on the back).;URL3 (from “Company car in partner/director’s name” block);;
72;After I’ve posted my paper application, within how many working days will the municipality respond by letter?;Within 3 working days.;URL2 (from “We will respond by letter within 3 working days” in “Next steps”);;
73;What does that follow-up letter tell you?;Whether you will receive the permit and how/when to pay the charges.;URL2 (from “Our letter will confirm whether … and payment information” in “Next steps”);;
74;Before mailing the paper form, what must I do to the application itself?;Sign the form.;URL2 (from “Print … complete it. Sign the form and send …”);;
75;What appears on a Blue Zone waiver for residents?;The licence-plate number of your car.;URL5 (from “Bewoners – Op de ontheffing staat het kenteken …”);;
76;What appears on a Blue Zone waiver for a company?;The name of the company.;URL5 (from “Bedrijven – Op de ontheffing staat de naam van uw bedrijf”);;
77;Where must you place the Blue Zone waiver once you receive it?;Visibly inside your car (e.g., on the dashboard).;URL5 (from “U legt de ontheffing zichtbaar in uw auto” line);;
78;How long is a Blue Zone waiver valid?;Two years.;URL5 (from “Een ontheffing blauwe zone is 2 jaar geldig”);;
79;Will the municipality remind you when the waiver is about to expire?;"No, you must re-apply yourself; no reminder is sent.";URL5 (from “Na 2 jaar moet u zelf een nieuwe ontheffing aanvragen. U krijgt geen bericht.”);;
80;Before applying for a waiver in Nieuw-West or Zuidoost, what page should you check first?;The page ‘Betaald parkeren in Nieuw-West’ or ‘Betaald parkeren in Zuidoost’.;URL5 (from “Kijk dan eerst op de pagina …”);;
81;When a company applies for a Blue Zone waiver, which document must show its number of employees?;A document such as a payroll list indicating employee numbers.;URL5 (from “Document waarin staat hoeveel werknemers … bijvoorbeeld een loonlijst”);;
82;If you’re a resident with a lease car requesting a Blue Zone waiver, what document is required?;The lease agreement proving you are the vehicle’s user.;URL5 (from “Bij een leaseauto: de leaseovereenkomst …”);;
83;For a caregiver’s (mantelzorger) Blue Zone waiver where the caregiver drives a company car, what extra proof is needed?;An employer’s statement on official letterhead (≤ 1 month old) allowing the caregiver to drive the car.;URL5 (from “verklaring van de werkgever … maximaal 1 maand oud”);;
84;With a caregiver waiver, how many caregivers can park at once?;Only one caregiver (mantelzorger) may park at any given time.;URL5 (from “Er mag maar 1 mantelzorger tegelijk parkeren …”);;
85;How can I avoid the € 23.20 surcharge when paying for a Blue Zone waiver?;By paying immediately with iDEAL.;URL5 (from “U betaalt … € 23,20 extra als u achteraf wilt betalen … direct betalen met iDEAL … geen extra kosten”);;
86;After an online permit application, what do you receive if you immediately qualify?;Its shown immediately on the screen.;URL1 (from “you will immediately receive an e-mail with the confirmation”);;
87;My car was stolen and the police report isn’t ready. Can I still request a temporary registration change?;Yes, an email confirmation of the report is acceptable.;URL3 (from “If police report is not yet available, an email confirmation …”);;
88;When changing a registration number, what is the maximum age of an acceptable payslip?;The payslip must be no more than 2 months old.;URL3 (from “Payslip (max. 2 months old) …”);;
89;During an online application, which details are automatically checked by the system?;Your address and the vehicle registration number.;URL1 (from “we automatically check details such as your address and registration number”);;
90;Are there areas in Amsterdam where I'd apply for a Blue Zone waiver instead of a regular resident parking permit, and which areas are these?;Yes, in some areas, a Blue Zone waiver (ontheffing) is used instead of a standard resident parking permit. You can typically apply for these Blue Zone waivers in the city districts of Nieuw-West, Noord, Oost, and Zuidoost.;URL1 (from “instead of a parking permit, you can apply for a waiver for the blue zone” sentence);;
91;For care institutions, schools or police stations, are their own parking spaces deducted from the waivers they can receive?;Yes, the number of private spaces is subtracted (-) from the total waivers allowed.;URL5 (from “Wij trekken het aantal eigen parkeerplaatsen … af van het totale aantal ontheffingen”);;
92;My car was stolen, what should I do in my case?;If your car is stolen, apply for a temporary change of registration number on your resident parking permit. Send a police report no older than 1 month that lists the stolen car’s registration number. If the report is not yet available, an e-mail confirmation of the report is acceptable. When your own car is back in use (for example, within 2 weeks), use the online form to restore the permit to your original registration number.;URL3 (from “Changing the registration number…” – “Temporary car due to theft” and “Returning to your original vehicle registration number” sections);;
93;Do you have amsterdam tourist information?;Yes, visit iamsterdam.com – the city’s “To do in Amsterdam” portal with information about tourism, hotels, cultural events and going out.;URL 1 (How to apply for a resident parking permit);;
94;Can I apply for a resident parking permit if I live in a hotel?;Only applicable if the hotel address is your registered BRP address. A resident permit is issued solely to people who are registered at the address for which they apply.;URL1 (from “You must meet these conditions” – “You are registered at the address for which you are applying for the permit” section);;
95;I’m moving to another part of Amsterdam. What must I do with my current resident parking permit?;You must cancel the permit attached to your old address and then apply for a new permit for your new address.;URL 6 (from “Parking permit transfer when moving house” – first paragraph);;
96;My company is relocating. Can we simply transfer our business parking permitto the new address?;No, just like residents, a business must terminate the permit for the old address and apply for a new oneat the new premises.;URL 6 (from “Parking permit transfer when moving house” – first paragraph);;
97;What are the basic conditions for getting a parking permit at my new address after moving?;You must (1) be officially registered at the new address, (2) the area must have paid parking, and (3) you may not have a private parking space there. New-build properties are excluded from permits.;URL 6 (from “Conditions” list);;
98;Do I need to be registered at my new address beforeapplying for the permit there?;Yes. Registration at the new address is a prerequisite for the new permit.;URL 6 (from “You are registered at your new address…” bullet);;
99;If there is paid parking in my new street but I have my own garage, can I still get a permit?;No. Having a private parking space at the new address disqualifies you from a resident or business permit there.;URL 6 (from “You do not have a parking space at your new address” bullet);;
100;Can I receive a parking permit for a new-build property I’m moving into?;No. The city does not issue resident or business permits for new-build properties.;URL 6 (from “Please note: you cannot get a parking permit for new-build properties.”);;
101;I was already on a waiting list for a permit. What happens to my waiting-list place when I move?;Your place transfers: you are put on the waiting list of the new permit area using your original application date (or the date you joined the waiting list).;URL 6 (from “On the waiting list” section);;
102;Will I lose my seniority on the waiting list if the new area also has a list?;No. Your original application or registration date is kept, so your seniority is preserved.;URL 6 (from “will be placed on the waiting list … based on the original application date”);;
103;What are the practical steps to obtain a permit when I move house?;First terminate your existing permit, then apply for a new permit, choose either the resident-permit or business-permit application process, depending on your situation.;URL 6 (from “How to apply” section);;
104;Do the move-house rules apply to both residents and businesses, or only to residents?;They apply to both resident and business permits, as well as to anyone on a waiting list for either.;URL 6 (from “This applies to parking permits for both residents and businesses, or your position on the waiting list…”);;
105;How many parking permits can I have?;"In Amsterdam you can never have more than two resident parking permits linked to a single address. Only some neighbourhoods allow the full maximum of 2 permits per address; in other areas the limit is lower. Any private parking space you own (or could have rented/bought) is deducted from that number.";URL1 (from “In some parts of Amsterdam you are able to apply for a maximum of 2 permits per address” rule);;
106;If my employer leases my car, and I provide my employment contract instead of a payslip, does the employer's statement still need to confirm I'm the only employee permitted to drive it?;Yes, even if you provide an employment contract instead of a payslip (e.g., if you just started), you still need a statement from your employer, no older than 1 month, stating that you are an employee of the company and that you are the only employee permitted to drive the car.;"URL2 (""Applying by post..."" - Lease car or rental car / Your name is NOT on the contract)";;
